publishedAt,title,description,kind,videoID,channelId,channelTitle
2017-04-30T15:00:06.000Z,Japanese Cheesecake - Delicious Baking Recipe | Craft Passion,"Try this Japanese Cheesecake / cotton cheesecake recipe for a pillowy soft, light & heavenly cheesecake you will ever make. Get the full recipe at ...",youtube#video,qyLLOctx7ZU,UCVHqwhb-1Ck03mWuYU_8njQ,Craft Passion
2017-02-02T17:00:23.000Z,Jiggly Fluffy Japanese Cheesecake,Customize & buy the Tasty Cookbook here: http://bzfd.it/2fpfeu5 Here is what you'll need! Fluffy Jiggly Japanese Cheesecake Servings: 6-8 INGREDIENTS ⅔ ...,youtube#video,TeoS_fQWvkY,UCJFp8uSYCjXOMnkUyb3CQ3Q,Tasty
2017-04-21T22:00:06.000Z,6 Cheesecake Recipes,"Here is what you'll need! Recipes: BROWNIE FUDGE CHEESECAKE Servings: 10-12 INGREDIENTS Cheesecake 1 box brownie mix, prepared according to ...",youtube#video,WFcPnyItOIY,UCJFp8uSYCjXOMnkUyb3CQ3Q,Tasty
2017-03-27T11:00:03.000Z,Sakura(Cherry Blossoms) Nobake Cheesecake,"i made Sakura(cherry blossoms)nobake cheesecake!;) now,Japan is Hanami(cherry-blossom viewing) season. this time,i use homemade sakura shaped soba ...",youtube#video,UqGDVJtW6xI,UCzTeeF5DIjaXWLgPrRQVvww,decocookie
2017-01-17T22:00:56.000Z,No-Bake Chocolate Peanut Butter Cheesecake,Customize & buy the Tasty Cookbook here: http://bzfd.it/2fpfeu5 Here is what you'll need! NO-BAKE CHOCOLATE PEANUT BUTTER CHEESECAKE Servings: ...,youtube#video,YaLPOLqT49k,UCJFp8uSYCjXOMnkUyb3CQ3Q,Tasty
2017-04-14T17:20:58.000Z,No-Bake Triple Chocolate Mousse Cake Recipe,"This triple chocolate mousse cake is rich, chocolaty and decadent, hardly not to fall in love with it from the first bite. Three airy layers of chocolate goodness on ...",youtube#video,Hu1asXhwf4M,UCemXyN0MvApSEEtGvAsdo3g,Home Cooking Adventure
2017-04-22T21:12:46.000Z,How To Make Fluffy Japanese Cheesecake,WARNING: NO THIRD PARTY UPLOADS OF THIS COPYRIGHT PROTECTED VIDEO. UNLESS YOU HAVE A LICENCE. IF NOT YOUR ACCOUNT WILL ...,youtube#video,2Tq1duUqVIA,UCAVnTjOdQVTNtjrmjw1OnjQ,Josephine's Recipes
2017-04-30T18:16:25.000Z,Japanese Cotton Cheesecake | Episode 1157,"To get this complete recipe with instructions and measurements, check out my website: http://www.LauraintheKitchen.com Instagram: ...",youtube#video,osuhLo52bTg,UCNbngWUqL2eqRw12yAwcICg,Laura in the Kitchen
2017-03-10T08:32:10.000Z,The 200 year OLD cheesecake recipe | Ann Reardon How To Cook That,200 year old cheesecake Recipe: http://howtocookthat.net Join the How To Cook That family : http://bit.ly/H2CThat Become a VIP: http://bit.ly/H2CTemail How To ...,youtube#video,d3nc7YoWNP4,UCsP7Bpw36J666Fct5M8u-ZA,How To Cook That
2017-05-08T12:00:03.000Z,Strawberry Flower No-bake Cheesecake for Mother's Day,"i made carnation shaped strawberry no-bake cheesecake for Mother's Day!;) it's no-bake cheesecake but it tastes like strawberry mille-feuille. sorry,i forgot to ...",youtube#video,SkHw8nsG5LY,UCzTeeF5DIjaXWLgPrRQVvww,decocookie
2017-03-16T16:00:29.000Z,Banana Bread Bottom Cheesecake,Here is what you'll need! Banana Bread Bottom Cheesecake Servings: 10 INGREDIENTS Banana Bread Layer 4 bananas (as ripe as possible) 4 tablespoon ...,youtube#video,Yh8rNF3LB18,UCJFp8uSYCjXOMnkUyb3CQ3Q,Tasty
2017-01-27T11:30:00.000Z,No bake cheesecake - easy dessert to make at home,Tasty and easy desserts recipes to make at home. cooking videos about dessert. how to make new york cheese cake. A simple dessert and a quick food video ...,youtube#video,fkDQHXIXMxw,UCN_mEa9cavDEBpiSs0q361A,Food & Cooking
2017-04-26T15:48:02.000Z,No-Bake Cheesecake,"Get a copy of our recipe e-book here http://thevgncnr.co/2kQWuXa INGREDIENTS FOR A 18cm CAKE: For the base 110g digestive biscuits, finely crushed 45g ...",youtube#video,kcvr4a_t7R0,UCjL9fu714QdyrkleaHX5-sw,The Vegan Corner
2017-01-25T14:58:55.000Z,Cheesecake Flan Recipe,"Cheesecake Flan is a very delicate and elegant dessert that can be prepared for any occasion. It is rich with a smooth, silky texture and the delicious caramel ...",youtube#video,9zkLSR2_mz0,UCemXyN0MvApSEEtGvAsdo3g,Home Cooking Adventure
2017-05-12T13:22:00.000Z,Cookie Dough Cheesecake Recipe | Episode 1160,"To get this complete recipe with instructions and measurements, check out my website: http://www.LauraintheKitchen.com Instagram: ...",youtube#video,OavYceJXdpE,UCNbngWUqL2eqRw12yAwcICg,Laura in the Kitchen
2017-04-26T15:48:54.000Z,No-Bake Cheesecake | ASMR Cooking Sounds 4K,"Get a copy of our recipe e-book here http://thevgncnr.co/2kQWuXa INGREDIENTS FOR A 18cm CAKE: For the base 110g digestive biscuits, finely crushed 45g ...",youtube#video,TjudpBjBjA8,UCjL9fu714QdyrkleaHX5-sw,The Vegan Corner
2017-02-10T17:21:59.000Z,No-Bake White Chocolate Raspberry Cheesecake Recipe,This No-Bake White Chocolate Raspberry Cheesecake is one of the best no-bake cheesecakes ever and it's very easy to prepare. The raspberry heart shapes ...,youtube#video,pSC4DTjcqyA,UCemXyN0MvApSEEtGvAsdo3g,Home Cooking Adventure
2017-03-04T16:36:05.000Z,Sopapilla Cheesecake Bars | Episode 1144,"To get this complete recipe with instructions and measurements, check out my website: http://www.LauraintheKitchen.com Instagram: ...",youtube#video,k3jx_Box_4k,UCNbngWUqL2eqRw12yAwcICg,Laura in the Kitchen
2017-02-10T11:00:39.000Z,oreo cake recipe | oreo cheesecake recipe | no bake cheesecake recipe,recipe: http://hebbarskitchen.com/oreo-cake-recipe-no-bake-oreo-cheesecake Website – http://hebbarskitchen.com/ Facebook ...,youtube#video,Lbd9PCPSLp4,UCPPIsrNlEkaFQBk-4uNkOaw,Hebbars Kitchen
2017-05-03T16:46:33.000Z,HOW TO MAKE CHEESE CAKE (NO BAKE),"How to make the best basic no bake cheese cake this recipe is so easy to follow anyone can make this,tastes really rich and creamy melts in your mouth ...",youtube#video,t8sE8uxVnnY,UC3dcwl2wmDVQt8XgiB76QWA,Cooking with Khaleda
2017-03-18T02:40:04.000Z,라즈베리 레어 치즈 케이크 만들기 Raspberry Cheesecake Recipe | 한세,안녕하세요 오늘은 라즈베리 치즈케이크를 준비했어요 안에는 라즈베리 젤리를 넣어 더욱 맛있게! 새로산 틀에 만들어봤는데 괜찮은가요? 치즈케...,youtube#video,D0IvWxLGD98,UCZTavrg2A43lQMWxiK3yu7g,한세HANSE
2017-05-17T22:00:02.000Z,BAKING CHEESECAKE WITH COURTNEY MILLER!,Courtney and I attempt to bake a cheesecake for the first time! Follow us on our social platforms!,youtube#video,eCmwi9Mjlzw,UCeaMWfo8kwdbLIl0RyuwVoA,Smosh Olivia
2017-03-04T15:30:00.000Z,Low Carb Cheesecake | No Bake Keto Deliciousness | 3 Different Flavors!,Cashew Crust: https://www.ketoconnect.net/recipe/cashew-cheesecake/ Chocolate Crust: https://www.ketoconnect.net/recipe/low-carb-chocolate-cheesecake/ ...,youtube#video,_G-9J7Xuo3M,UCzRYivTpUQ0r2qPPjfLoQiA,Keto Connect
2017-05-01T21:16:28.000Z,Chocolate Cheesecake Keto Brownies | Low Carb Brownies Recipes,"Chocolate Cheesecake Keto Brownies Recipe - Low Carb Brownies Recipes - Adapted from ""How To Be A Domestic Goddess"" by Nigella Lawson ...",youtube#video,C9SHKaqWiM0,UCv1rd3I2qtBwtJh0lue2pww,Yummy Inspirations
2017-01-19T18:53:37.000Z,Nutella Cheesecake,"This Nutella Cheesecake tastes like it came from a gourmet bakery. It's decadent, creamy, and full of Nutella flavor. PRINTABLE RECIPE: ...",youtube#video,W-h81c3Q9Sc,UCfgM22zupzwI7RNqyXazLIQ,Jen Sobjack
2017-03-15T15:53:40.000Z,Irish No-Bake Strawberry Cheesecake,Irish No-Bake Strawberry Cheesecake.,youtube#video,qiuzcj0Trdk,UCoV3UenuTwzy1smiy2mSHgw,Keelings
2017-04-23T00:04:20.000Z,Jiggly Fluffy Japanese Cheesecake Recipe,WARNING: NO THIRD PARTY UPLOADS OF THIS COPYRIGHT PROTECTED VIDEO. UNLESS YOU HAVE A LICENCE. IF NOT YOU'LL GET COPYRIGHT ...,youtube#video,PkfMOByageM,UCECA8Jct_FI6l2tIBLuK7QA,How to Make yummy
2017-04-24T16:05:45.000Z,No Bake Oreo Cheesecake,FULL RECIPE HERE: http://tatyanaseverydayfood.com/recipe-items/oreo-cheesecake/ The famous Oreo cookie - chocolate-y goodness sandwiched together ...,youtube#video,eNkGFex3gks,UCkrdI6_uNjgw4LUbE6JCxmQ,TatyanasEverydayFood
2017-03-30T09:00:00.000Z,Вкусная ПАСХА рецепт Классическая ТВОРОЖНАЯ ПАСХА Пасхальный Стол – Easter Cheesecake  Recipe,"ПАСХАЛЬНЫЙ СТОЛ Творожная ПАСХА заварная, она нежная и вкусная. Без нее невозможно представить Пасхальный...",youtube#video,64T_r5966V8,UCwZ6TJuh2PsR83k5PkkQx4A,LudaEasyCook Позитивная Кухня
2017-04-25T13:27:44.000Z,How To Make Super Soft and Fluffy Cotton Cheesecake | Chinese Bakery & Japanese Cheesecake 轻乳酪蛋糕,WARNING: NO THIRD PARTY UPLOADS OF THIS COPYRIGHT PROTECTED VIDEO. UNLESS YOU HAVE A LICENCE. IF NOT YOU'LL GET COPYRIGHT ...,youtube#video,nbEDDJGDZJk,UCAVnTjOdQVTNtjrmjw1OnjQ,Josephine's Recipes
2017-03-14T13:53:45.000Z,RAW VEGAN CHEESECAKE,"Open for the recipe to this easy, delicious, no bake, healthy, raw, vegan cheesecake! Crust: 1 cup medjool dates 1 cup almonds 1/4 cup coconut Filling: 2 cups ...",youtube#video,rVTCrVp90dA,UCSOnoMkVtUiQni2V9C3dSyA,Elizabeth Couse
2017-04-05T13:40:40.000Z,(No-oven) Coffee coconut cheesecake recipe - Bánh kem pho-mát dừa cà phê,(English & Tiếng Việt) Mời các bạn xem danh mục nguyên liệu và câu truyện đằng sau video clip này tại website của Savoury Days nhé: ...,youtube#video,osbPeVCE6-0,UC40B-7zSAPxkl2uayd27WTA,Savoury Days Kitchen
2017-03-14T10:28:01.000Z,"🌿녹차 치즈케이크 만들기, 말차 무스케이크 : Green tea cheesecake Recipe,Matcha Mousse cake : 緑茶チーズケーキ -Cookingtree쿠킹트리",진한 크림치즈와 녹차의 맛을 함께 즐길 수 있는 녹차 치즈케이크를 만들었어요! ▽▽▽▽구독하고~ 좋아요!누르고 공유 부탁드려요!^^▽▽▽▽...,youtube#video,nQ6PAjcrjPc,UCtby6rJtBGgUm-2oD_E7bzw,Cooking tree 쿠킹트리
2017-01-13T18:02:02.000Z,Oreo Cheesecake Recipe! No Bake!,This week I'm sharing with you my No Bake Oreo Cheesecake recipe. It's just delicious. This recipe has few and basic ingredients to any cheesecake. It's simple ...,youtube#video,5jGLoOu822o,UCgmOd6sRQRK7QoSazOfaIjQ,Emma's Goodies
2017-02-03T16:35:08.000Z,EPIC CAKES: Red Velvet Strawberry Cheesecake,FULL RECIPE HERE: http://tatyanaseverydayfood.com/recipe-items/red-velvet-strawberry-cheesecake/ Calling all strawberry lovers - this extravagant ...,youtube#video,HG48_edBgho,UCkrdI6_uNjgw4LUbE6JCxmQ,TatyanasEverydayFood
2017-02-19T08:37:52.000Z,(Nobake) PEACH CHEESECAKE recipe - Cách làm bánh CHEESCAKE ĐÀO KHÔNG CẦN LÒ,"(in English & Tiếng Việt) Bánh Cheesecake đào KHÔNG CẦN LÒ NƯỚNG có cách làm nhanh gọn, đơn giản nhưng thành phẩm thì cực kì ngon miệng. Mời các ...",youtube#video,QAjRhNtcCds,UC40B-7zSAPxkl2uayd27WTA,Savoury Days Kitchen
2017-04-13T21:30:00.000Z,Sous Vide CHEESECAKE Perfection!,"My wife makes the best CHEESECAKE ever, it is a Chantal's New York Cheesecake. This came out perfect in Sous Vide, its even better than the oven. We could ...",youtube#video,4RE-ztogyIo,UCpFuaxD-0PKLolFR3gWhrMw,Sous Vide Everything
2017-05-01T00:43:20.000Z,成功的秘訣 ●  轻乳酪蛋糕 Japanese Cotton Cheesecake Recipe,完整食譜: http://yummyeasycooking.blogspot.co.uk/2017/05/japanese-cotton-cheesecake-recipe.html ©Yummy treats from Josephine's Recipes Happiness is ...,youtube#video,c68-FbWAT_g,UCAVnTjOdQVTNtjrmjw1OnjQ,Josephine's Recipes
2017-01-13T16:42:23.000Z,EPIC CAKES: Triple Coffee Cheesecake,FULL RECIPE HERE: http://tatyanaseverydayfood.com/recipe-items/triple-coffee-cheesecake/ Coffee lovers - this extravagant cake is for you! My 'Triple Coffee ...,youtube#video,z0HqXStuG98,UCkrdI6_uNjgw4LUbE6JCxmQ,TatyanasEverydayFood
2017-03-15T10:00:01.000Z,Fluffy Raspberry Cheesecake | Oh Yum with Anna Olson,This is much lighter version than a dense and creamy New York cheesecake. This one is top with fresh raspberries and a raspberry jelly glaze. Click on SHOW ...,youtube#video,MPhk45LFqbI,UCr_RedQch0OK-fSKy80C3iQ,Oh Yum with Anna Olson
2017-05-12T10:20:40.000Z,Mango Cheesecake,A refreshing tropical mango cheesecake that's a breeze to make! Chunks of sweet and juicy fresh mango is folded into this smooth creamy no-bake cheesecake ...,youtube#video,Tgs7Ydm4WfU,UCVaD288qqIkgbzegHoyKFlg,Whisk n Fold
2017-02-17T12:13:29.000Z,নো-বেইক ওরিও চিজকেক | Bangla No Bake Orio Cheesecake Recipe,"বেকিং ছাড়া যে কত্ত সহজে, কত্ত মজার কেক তৈরী করা যায়, সেটা তৈরী করে না খেলে...",youtube#video,PO83gZW32eQ,UC6IFwh0R3xkv-S0lnDioxHA,রুমানার রান্নাবান্না
